,Ast,Blk,DefReb,FantasyPoints,FTA,FTM,FT%,Games,Minutes,OffReb,PF,Rtg,Pts,Reb,Season,Stl,3PA,3PM,3P%,TO,2PA,2PM,2P%
Russell Westbrook,550.6,20.0,470.5,2859.9,399.4,266.3,66.8,78,2680,110.1,235.2,18.4,1442.4,580.6,2022,75.1,265.3,79.1,29.8,295.3,969.0,469.5,48.5
LeBron James,349.3,59.1,396.4,2840.1,336.3,254.3,75.7,56,2086,63.1,121.1,31.1,1696.7,459.5,2022,73.1,448.4,161.2,35.9,196.2,773.8,479.5,62.1
Anthony Davis,122.1,90.1,288.3,1780.6,244.2,174.2,71.4,40,1403,106.1,97.1,28.0,927.9,394.4,2022,49.0,70.1,13.0,18.6,82.1,625.6,357.4,57.2
Malik Monk,218.2,29.0,219.2,1741.9,117.1,93.1,79.6,76,2140,37.0,138.1,17.3,1049.0,256.3,2022,61.1,442.4,173.2,39.1,122.1,384.4,218.2,56.9
Carmelo Anthony,68.1,52.1,226.2,1507.1,159.2,132.1,83.1,69,1795,62.1,166.2,17.6,919.9,288.3,2022,47.0,397.4,149.1,37.5,59.1,326.3,170.2,52.2
Talen Horton-Tucker,159.2,29.0,156.2,1162.3,125.1,100.1,80.1,60,1512,37.0,148.1,13.4,597.6,193.2,2022,59.1,182.2,49.0,26.9,82.1,356.4,175.2,49.2
Dwight Howard,35.0,36.0,238.2,945.6,146.1,96.1,65.9,60,974,118.1,115.1,20.7,372.4,356.4,2022,34.0,15.0,8.0,53.4,47.0,204.2,126.1,61.9
Austin Reaves,110.1,20.0,148.1,899.5,118.1,99.1,84.0,61,1418,45.0,87.1,13.6,444.4,193.2,2022,29.0,167.2,53.1,31.7,40.0,151.2,93.1,61.7
Avery Bradley,47.0,9.0,105.1,714.4,18.0,16.0,89.0,62,1406,31.0,118.1,9.5,394.4,136.1,2022,53.1,210.2,82.1,39.0,38.0,140.1,66.1,47.1
Stanley Johnson,80.1,14.0,121.1,705.7,74.1,53.1,71.7,48,1095,34.0,109.1,12.4,320.3,155.2,2022,43.0,105.1,33.0,31.4,35.0,146.1,84.1,57.6
D.J. Augustin,107.1,1.0,57.1,516.6,43.0,38.0,88.5,55,882,11.0,39.0,11.9,294.3,68.1,2022,17.0,164.2,68.1,41.5,56.1,58.1,26.0,44.8
Wayne Ellington,30.0,5.0,67.1,461.9,11.0,9.0,81.9,43,811,10.0,42.0,12.0,287.3,77.1,2022,23.0,211.2,82.1,38.9,19.0,26.0,16.0,61.6
Kent Bazemore,34.0,9.0,56.1,313.1,17.0,13.0,76.6,39,545,13.0,70.1,7.5,132.1,69.1,2022,25.0,80.1,29.0,36.2,21.0,59.1,16.0,27.1
Wenyen Gabriel,14.0,11.0,58.1,294.7,42.0,25.0,59.6,26,358,39.0,68.1,14.6,141.1,97.1,2022,5.0,28.0,8.0,28.6,16.0,82.1,46.0,56.2
Trevor Ariza,27.0,6.0,72.1,262.2,18.0,10.0,55.7,24,462,10.0,20.0,8.6,96.1,82.1,2022,13.0,74.1,20.0,27.0,11.0,25.0,13.0,52.1
Mason Jones,4.0,0.0,9.0,48.0,15.0,12.0,80.1,4,50,1.0,8.0,21.1,27.0,10.0,2022,2.0,4.0,1.0,25.0,1.0,11.0,6.0,54.6
Sekou Doumbouya,0.0,2.0,4.0,29.2,4.0,3.0,75.1,2,16,2.0,1.0,45.0,14.0,6.0,2022,3.0,2.0,1.0,50.0,2.0,6.0,4.0,66.8
Mac McClung,1.0,1.0,3.0,14.1,1.0,1.0,100.1,2,24,0.0,5.0,6.7,8.0,3.0,2022,1.0,3.0,1.0,33.3,3.0,3.0,2.0,66.8
Darren Collison,2.0,0.0,4.0,12.8,0.0,0.0,0.0,3,37,0.0,5.0,0.5,4.0,4.0,2022,1.0,3.0,0.0,0.0,1.0,4.0,2.0,50.0
Jemerrio Jones,0.0,0.0,1.0,9.6,0.0,0.0,0.0,2,14,2.0,2.0,16.7,4.0,3.0,2022,1.0,0.0,0.0,0.0,0.0,3.0,2.0,66.8
Jay Huff,1.0,1.0,3.0,9.3,0.0,0.0,0.0,4,20,1.0,1.0,1.1,0.0,4.0,2022,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
Kendrick Nunn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
